,,,Totals,,,,,,,,Shooting,,,,Per Game,,,,
Season,Player,School,G,GS,PTS,TRB,AST,STL,BLK,WS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK
2001-02,Elvin Mims,Southern Mississippi,25,20,472,196,28,35,31,3.6,0.447,0.498,0.331,0.724,18.9,7.8,1.1,1.4,1.2
2001-02,Leonard Stokes,Cincinnati,35,35,445,168,50,31,14,5.2,0.467,0.524,0.298,0.732,12.7,4.8,1.4,0.9,0.4
2001-02,Louis Truscott,Houston,32,29,429,297,22,13,21,3.3,0.574,0.582,0.333,0.638,13.4,9.3,0.7,0.4,0.7
2001-02,Will Campbell,UAB,30,30,381,263,32,36,39,5,0.544,0.546,0,0.58,12.7,8.8,1.1,1.2,1.3
2000-01,Altron Jackson,South Florida,31,13,587,152,60,44,6,3.9,0.484,0.532,0.311,0.674,18.9,4.9,1.9,1.4,0.2
2000-01,Brian Wardle,Marquette,29,29,544,106,58,17,2,3.1,0.404,0.418,0.382,0.838,18.8,3.7,2,0.6,0.1
2000-01,Kelly Wise,Memphis,36,35,550,363,68,39,57,5.6,0.481,0.481,,0.504,15.3,10.1,1.9,1.1,1.6
2000-01,Rodney White,Charlotte,28,26,523,182,41,34,20,4.4,0.487,0.533,0.347,0.713,18.7,6.5,1.5,1.2,0.7
2000-01,Steve Logan,Cincinnati,34,32,597,81,79,30,2,4.7,0.423,0.449,0.391,0.88,17.6,2.4,2.3,0.9,0.1
2000-01,B.B. Waldon,South Florida,27,27,463,194,58,41,9,4.2,0.543,0.55,0.5,0.51,17.1,7.2,2.1,1.5,0.3
